"utterance","item","speaker_belief","prob"
"BARE-dances-?","Charley_H","dances",0.884450452958566
"BARE-dances-?","Charley_H","doesnt_dance",0.00745294336008342
"BARE-dances-?","Charley_H","uncertain",0.10809660368135
"BARE-dances-?","Charley_L","dances",0.0658230690644692
"BARE-dances-?","Charley_L","doesnt_dance",0.411707961789447
"BARE-dances-?","Charley_L","uncertain",0.522468969146085
"BARE-dances-?","Danny_H","dances",0.515376524387628
"BARE-dances-?","Danny_H","doesnt_dance",0.00865263997423663
"BARE-dances-?","Danny_H","uncertain",0.475970835638135
"BARE-dances-?","Danny_L","dances",0.0934576638836249
"BARE-dances-?","Danny_L","doesnt_dance",0.46847729336391
"BARE-dances-?","Danny_L","uncertain",0.438065042752466
"BARE-dances-?","Emily_H","dances",0.225954536895166
"BARE-dances-?","Emily_H","doesnt_dance",0.0667293284800903
"BARE-dances-?","Emily_H","uncertain",0.707316134624744
"BARE-dances-?","Emily_L","dances",0.055342702957564
"BARE-dances-?","Emily_L","doesnt_dance",0.736253477014643
"BARE-dances-?","Emily_L","uncertain",0.208403820027793
"BARE-dances-?","Emma_H","dances",0.613935204867234
"BARE-dances-?","Emma_H","doesnt_dance",0.0154985753993761
"BARE-dances-?","Emma_H","uncertain",0.37056621973339
"BARE-dances-?","Emma_L","dances",0.14673525873272
"BARE-dances-?","Emma_L","doesnt_dance",0.3726985639395
"BARE-dances-?","Emma_L","uncertain",0.480566177327779
"BARE-dances-?","Frank_H","dances",0.42354680342879
"BARE-dances-?","Frank_H","doesnt_dance",0.0137834820373166
"BARE-dances-?","Frank_H","uncertain",0.562669714533893
"BARE-dances-?","Frank_L","dances",0.0987907299785583
"BARE-dances-?","Frank_L","doesnt_dance",0.767496750062674
"BARE-dances-?","Frank_L","uncertain",0.133712519958767
"BARE-dances-?","Grace_H","dances",0.816468648743742
"BARE-dances-?","Grace_H","doesnt_dance",0.00827418741177808
"BARE-dances-?","Grace_H","uncertain",0.17525716384448
"BARE-dances-?","Grace_L","dances",0.14045716121515
"BARE-dances-?","Grace_L","doesnt_dance",0.542591669428854
"BARE-dances-?","Grace_L","uncertain",0.316951169355996
"BARE-dances-?","Isabella_H","dances",0.114177298702031
"BARE-dances-?","Isabella_H","doesnt_dance",0.0427368110793222
"BARE-dances-?","Isabella_H","uncertain",0.843085890218648
"BARE-dances-?","Isabella_L","dances",0.0780862791936211
"BARE-dances-?","Isabella_L","doesnt_dance",0.767686711888948
"BARE-dances-?","Isabella_L","uncertain",0.154227008917431
"BARE-dances-?","Jackson_H","dances",0.818055155254878
"BARE-dances-?","Jackson_H","doesnt_dance",0.0139829077285984
"BARE-dances-?","Jackson_H","uncertain",0.167961937016523
"BARE-dances-?","Jackson_L","dances",0.0786674781543922
"BARE-dances-?","Jackson_L","doesnt_dance",0.723967731028578
"BARE-dances-?","Jackson_L","uncertain",0.197364790817029
"BARE-dances-?","Jayden_H","dances",0.522384687825019
"BARE-dances-?","Jayden_H","doesnt_dance",0.0262591042540126
"BARE-dances-?","Jayden_H","uncertain",0.451356207920969
"BARE-dances-?","Jayden_L","dances",0.132398934324576
"BARE-dances-?","Jayden_L","doesnt_dance",0.646057178100938
"BARE-dances-?","Jayden_L","uncertain",0.221543887574486
"BARE-dances-?","Jon_H","dances",0.802681033364102
"BARE-dances-?","Jon_H","doesnt_dance",0.0145103010729668
"BARE-dances-?","Jon_H","uncertain",0.182808665562931
"BARE-dances-?","Jon_L","dances",0.126589781219963
"BARE-dances-?","Jon_L","doesnt_dance",0.633887816351287
"BARE-dances-?","Jon_L","uncertain",0.23952240242875
"BARE-dances-?","Josh_H","dances",0.272004540731166
"BARE-dances-?","Josh_H","doesnt_dance",0.0638532059259442
"BARE-dances-?","Josh_H","uncertain",0.66414225334289
"BARE-dances-?","Josh_L","dances",0.0904922324962583
"BARE-dances-?","Josh_L","doesnt_dance",0.525803581419039
"BARE-dances-?","Josh_L","uncertain",0.383704186084701
"BARE-dances-?","Josie_H","dances",0.650382662730204
"BARE-dances-?","Josie_H","doesnt_dance",0.0112815530277268
"BARE-dances-?","Josie_H","uncertain",0.33833578424207
"BARE-dances-?","Josie_L","dances",0.0709271768328504
"BARE-dances-?","Josie_L","doesnt_dance",0.704768923200467
"BARE-dances-?","Josie_L","uncertain",0.224303899966683
"BARE-dances-?","Julian_H","dances",0.316043910322975
"BARE-dances-?","Julian_H","doesnt_dance",0.0275840558504001
"BARE-dances-?","Julian_H","uncertain",0.656372033826626
"BARE-dances-?","Julian_L","dances",0.0650946393548167
"BARE-dances-?","Julian_L","doesnt_dance",0.244744938735774
"BARE-dances-?","Julian_L","uncertain",0.690160421909409
"BARE-dances-?","Mary_H","dances",0.883720640889232
"BARE-dances-?","Mary_H","doesnt_dance",0.0224261663292728
"BARE-dances-?","Mary_H","uncertain",0.0938531927814956
"BARE-dances-?","Mary_L","dances",0.093333582008357
"BARE-dances-?","Mary_L","doesnt_dance",0.64798569776099
"BARE-dances-?","Mary_L","uncertain",0.258680720230653
"BARE-dances-?","Olivia_H","dances",0.735239842369003
"BARE-dances-?","Olivia_H","doesnt_dance",0.0372511509705277
"BARE-dances-?","Olivia_H","uncertain",0.22750900666047
"BARE-dances-?","Olivia_L","dances",0.116577965779612
"BARE-dances-?","Olivia_L","doesnt_dance",0.629720001556005
"BARE-dances-?","Olivia_L","uncertain",0.253702032664384
"BARE-dances-?","Owen_H","dances",0.742388235193956
"BARE-dances-?","Owen_H","doesnt_dance",0.0131220245509543
"BARE-dances-?","Owen_H","uncertain",0.24448974025509
"BARE-dances-?","Owen_L","dances",0.156978805566635
"BARE-dances-?","Owen_L","doesnt_dance",0.505763135478038
"BARE-dances-?","Owen_L","uncertain",0.337258058955327
